"lineNumber","startStop","EndStop","operator"
"1","Wzgórza K.","Salwator","ZTP  Kraków"
"10","Pleszów","Łagiewniki","ZTP  Kraków"
"11","Mały Płaszów P+R","Czerwone Maki P+R","ZTP  Kraków"
"13","Nowy Bieżanów P+R","Bronowice","ZTP  Kraków"
"14","Mistrzejowice","Bronowice","ZTP  Kraków"
"17","Dworzec Tow.","Czerwone Maki P+R","ZTP  Kraków"
"18","Krowodrza Górka","Czerwone Maki P+R","ZTP  Kraków"
"19","Łagiewniki","Dworzec Tow.","ZTP  Kraków"
"2","Salwator","Cm. Rakowicki","ZTP  Kraków"
"20","Mały Płaszów P+R","Cichy Kącik","ZTP  Kraków"
"21","Pleszów","Os.Piastów","ZTP  Kraków"
"22","Łagiewniki","Kopiec Wandy","ZTP  Kraków"
"24","Kurdwanów P+R","Bronowice Małe","ZTP  Kraków"
"3","Nowy Bieżanów P+R","Krowodrza Górka","ZTP  Kraków"
"4","Wzgórza K.","Bronowice Małe","ZTP  Kraków"
"49","Tauron Arena Kraków Wieczysta","Nowy Bieżanów P+R","ZTP  Kraków"
"5","Wzgórza K.","Krowodrza Górka","ZTP  Kraków"
"50","Kurdwanów P+R","Krowodrza Górka","ZTP  Kraków"
"52","Os.Piastów","Czerwone Maki P+R","ZTP  Kraków"
"6","Kurdwanów P+R","Cichy Kącik","ZTP  Kraków"
"74","Mistrzejowice","Dworzec Tow.","ZTP  Kraków"
"8","Łagiewniki","Bronowice Małe","ZTP  Kraków"
"9","Nowy Bieżanów P+R","Mistrzejowice","ZTP  Kraków"
